CropDays,SoilMoisture,Temperature,Humidity,Tempmax,Tempmin,Evapotranspiration,CropFactor,Waterneed,CropType
22,398,18,50,30.1,19.1,5.21532,0.45,1.297311,4
22,599,21,34,30.1,19.1,5.21532,0.45,1.952485,4
22,424,23,38,30.1,19.1,5.21532,0.45,1.38206,4
22,452,19,43,30.1,19.1,5.21532,0.45,1.473328,4
22,377,16,48,30.1,19.1,5.21532,0.45,1.22886,4
22,561,24,43,30.1,19.1,5.21532,0.45,1.828622,4
22,303,22,29,30.1,19.1,5.21532,0.45,0,4
22,164,21,57,30.1,19.1,5.21532,0.45,0,4
23,654,14,33,29.9,18.9,5.19048,0.45,2.335716,4
23,617,16,42,29.9,18.9,5.19048,0.45,2.335716,4
23,588,27,28,29.9,18.9,5.19048,0.45,2.100002,4
23,534,18,40,29.9,18.9,5.19048,0.45,1.907144,4
23,588,16,56,29.9,18.9,5.19048,0.45,2.100002,4
23,595,22,57,29.9,18.9,5.19048,0.45,2.125002,4
23,419,22,32,29.9,18.9,5.19048,0.45,1.49643,4
23,522,28,38,29.9,18.9,5.19048,0.45,1.864287,4
23,238,28,28,29.9,18.9,5.19048,0.45,0,4
23,325,19,55,29.9,18.9,5.19048,0.45,0,4
24,682,17,38,30.2,19.8,5.265,0.45,2.36925,4
24,605,20,25,30.2,19.8,5.265,0.45,2.36925,4
24,573,21,53,30.2,19.8,5.265,0.45,1.990587,4
24,459,28,41,30.2,19.8,5.265,0.45,1.594554,4
24,527,23,44,30.2,19.8,5.265,0.45,1.830784,4
24,567,24,42,30.2,19.8,5.265,0.45,1.969743,4
24,390,14,54,30.2,19.8,5.265,0.45,1.35485,4
24,434,22,29,30.2,19.8,5.265,0.45,1.507705,4
24,102,23,48,30.2,19.8,5.265,0.45,0,4
24,203,19,41,30.2,19.8,5.265,0.45,0,4
25,712,15,48,29.9,19.1,5.2029,0.45,2.341305,4
25,614,25,35,29.9,19.1,5.2029,0.45,2.341305,4
25,457,27,35,29.9,19.1,5.2029,0.45,1.502776,4
25,505,15,37,29.9,19.1,5.2029,0.45,1.660617,4
25,568,16,27,29.9,19.1,5.2029,0.45,1.867783,4
25,599,17,30,29.9,19.1,5.2029,0.45,1.969721,4
25,387,22,47,29.9,19.1,5.2029,0.45,1.272591,4
25,521,14,47,29.9,19.1,5.2029,0.45,1.71323,4
25,261,19,42,29.9,19.1,5.2029,0.45,0,4
25,254,18,39,29.9,19.1,5.2029,0.45,0,4
26,709,14,37,30.6,19.7,5.28363,0.45,2.3776335,4
26,638,25,52,30.6,19.7,5.28363,0.45,2.3776335,4
26,595,16,35,30.6,19.7,5.28363,0.45,1.995334,4
26,548,23,28,30.6,19.7,5.28363,0.45,1.83772,4
26,491,14,37,30.6,19.7,5.28363,0.45,1.64657,4
26,408,27,30,30.6,19.7,5.28363,0.45,1.368229,4
26,388,24,27,30.6,19.7,5.28363,0.45,1.301159,4
26,466,27,37,30.6,19.7,5.28363,0.45,1.562732,4
26,128,27,58,30.6,19.7,5.28363,0.45,0,4
26,274,28,56,30.6,19.7,5.28363,0.45,0,4
27,656,28,46,30.5,19.9,5.28984,0.45,2.380428,4
27,654,16,26,30.5,19.9,5.28984,0.45,2.380428,4
27,588,17,58,30.5,19.9,5.28984,0.45,2.133676,4
27,439,24,28,30.5,19.9,5.28984,0.45,1.593,4
27,579,28,56,30.5,19.9,5.28984,0.45,2.101018,4
27,531,28,46,30.5,19.9,5.28984,0.45,1.92684,4
27,373,18,55,30.5,19.9,5.28984,0.45,1.353506,4
27,390,28,55,30.5,19.9,5.28984,0.45,1.415193,4
27,263,25,53,30.5,19.9,5.28984,0.45,0,4
27,235,26,41,30.5,19.9,5.28984,0.45,0,4
28,694,18,27,30.5,19.7,5.27742,0.45,2.374839,4
28,615,25,29,30.5,19.7,5.27742,0.45,2.374839,4
28,380,24,25,30.5,19.7,5.27742,0.45,1.300344,4
28,542,22,44,30.5,19.7,5.27742,0.45,1.854701,4
28,563,27,54,30.5,19.7,5.27742,0.45,1.926562,4
28,529,22,27,30.5,19.7,5.27742,0.45,1.810216,4
28,567,17,30,30.5,19.7,5.27742,0.45,1.94025,4
28,483,27,37,30.5,19.7,5.27742,0.45,1.652806,4
28,160,16,41,30.5,19.7,5.27742,0.45,0,4
28,219,20,51,30.5,19.7,5.27742,0.45,0,4
29,661,18,28,30,19.4,5.22774,0.45,2.352483,4
29,636,15,50,30,19.4,5.22774,0.45,2.352483,4
29,451,22,51,30,19.4,5.22774,0.45,1.605098,4
29,429,27,25,30,19.4,5.22774,0.45,1.526801,4
29,427,28,39,30,19.4,5.22774,0.45,1.519683,4
29,491,19,52,30,19.4,5.22774,0.45,1.747457,4
29,429,25,28,30,19.4,5.22774,0.45,1.526801,4
29,577,16,44,30,19.4,5.22774,0.45,2.053529,4
29,126,20,48,30,19.4,5.22774,0.45,0,4
29,161,17,29,30,19.4,5.22774,0.45,0,4
30,670,21,34,30.2,19.5,5.24637,0.45,2.3608665,4
30,652,14,53,30.2,19.5,5.24637,0.45,2.3608665,4
30,508,28,44,30.2,19.5,5.24637,0.45,1.79003,4
30,594,17,52,30.2,19.5,5.24637,0.45,2.093067,4
30,509,24,56,30.2,19.5,5.24637,0.45,0,4
30,454,27,56,30.2,19.5,5.24637,0.45,1.599751,4
30,390,20,51,30.2,19.5,5.24637,0.45,1.374236,4
30,444,16,35,30.2,19.5,5.24637,0.45,1.564515,4
30,236,19,53,30.2,19.5,5.24637,0.45,0,4
30,184,25,50,30.2,19.5,5.24637,0.45,0,4
31,662,19,38,27.9,14.9,4.81788,0.75,3.61341,4
31,650,19,45,27.9,14.9,4.81788,0.75,3.61341,4
31,430,27,29,27.9,14.9,4.81788,0.75,2.347079,4
31,446,17,56,27.9,14.9,4.81788,0.75,2.434412,4
31,560,21,56,27.9,14.9,4.81788,0.75,3.056661,4
31,570,28,26,27.9,14.9,4.81788,0.75,3.111244,4
31,547,19,52,27.9,14.9,4.81788,0.75,2.985703,4
31,570,20,47,27.9,14.9,4.81788,0.75,3.111244,4
31,291,26,50,27.9,14.9,4.81788,0.75,0,4
31,265,22,38,27.9,14.9,4.81788,0.75,0,4
32,655,15,38,28.5,15,4.86135,0.75,3.6460125,4
32,605,23,43,28.5,15,4.86135,0.75,3.6460125,4
32,548,20,54,28.5,15,4.86135,0.75,3.050404,4
32,593,25,47,28.5,15,4.86135,0.75,3.300894,4
32,495,26,44,28.5,15,4.86135,0.75,2.755383,4
32,521,17,52,28.5,15,4.86135,0.75,2.900111,4
32,523,28,42,28.5,15,4.86135,0.75,2.911244,4
32,390,24,41,28.5,15,4.86135,0.75,2.170908,4
32,328,21,36,28.5,15,4.86135,0.75,0,4
32,190,28,56,28.5,15,4.86135,0.75,0,4
33,651,21,35,28.1,15.3,4.85514,0.75,3.641355,4
33,622,19,27,28.1,15.3,4.85514,0.75,3.641355,4
33,560,14,43,28.1,15.3,4.85514,0.75,3.132348,4
33,571,21,49,28.1,15.3,4.85514,0.75,3.193877,4
33,504,27,40,28.1,15.3,4.85514,0.75,2.819114,4
33,474,27,27,28.1,15.3,4.85514,0.75,2.651309,4
33,530,24,51,28.1,15.3,4.85514,0.75,2.964544,4
33,578,17,25,28.1,15.3,4.85514,0.75,3.233031,4
33,361,25,27,28.1,15.3,4.85514,0.75,0,4
33,231,16,32,28.1,15.3,4.85514,0.75,0,4
34,663,24,29,28.9,14.9,4.87998,0.75,3.659985,4
34,602,24,36,28.9,14.9,4.87998,0.75,3.659985,4
34,595,20,36,28.9,14.9,4.87998,0.75,3.284602,4
34,462,26,33,28.9,14.9,4.87998,0.75,2.550397,4
34,545,19,51,28.9,14.9,4.87998,0.75,3.008585,4
34,578,21,34,28.9,14.9,4.87998,0.75,3.190756,4
34,570,16,38,28.9,14.9,4.87998,0.75,3.146593,4
34,495,27,51,28.9,14.9,4.87998,0.75,2.732568,4
34,262,18,39,28.9,14.9,4.87998,0.75,0,4
34,128,28,51,28.9,14.9,4.87998,0.75,0,4
35,712,24,53,28.2,15.5,4.87377,0.75,3.6553275,4
35,655,21,41,28.2,15.5,4.87377,0.75,3.6553275,4
35,598,18,38,28.2,15.5,4.87377,0.75,3.070064,4
35,370,17,45,28.2,15.5,4.87377,0.75,1.899538,4
35,409,20,29,28.2,15.5,4.87377,0.75,2.09976,4
35,591,25,49,28.2,15.5,4.87377,0.75,3.034127,4
35,468,19,39,28.2,15.5,4.87377,0.75,2.402659,4
35,468,24,35,28.2,15.5,4.87377,0.75,2.402659,4
35,360,24,31,28.2,15.5,4.87377,0.75,0,4
35,110,16,56,28.2,15.5,4.87377,0.75,0,4
36,677,16,38,27.8,14.8,4.80546,0.75,3.604095,4
36,617,14,54,27.8,14.8,4.80546,0.75,3.604095,4
36,562,25,40,27.8,14.8,4.80546,0.75,2.991878,4
36,570,22,45,27.8,14.8,4.80546,0.75,3.034467,4
36,488,27,46,27.8,14.8,4.80546,0.75,2.59793,4
36,429,26,53,27.8,14.8,4.80546,0.75,2.283836,4
36,528,24,28,27.8,14.8,4.80546,0.75,2.810875,4
36,456,28,39,27.8,14.8,4.80546,0.75,2.427574,4
36,100,19,55,27.8,14.8,4.80546,0.75,0,4
36,108,14,34,27.8,14.8,4.80546,0.75,0,4
37,698,15,26,28,15,4.8303,0.75,3.622725,4
37,677,22,27,28,15,4.8303,0.75,3.622725,4
37,420,27,44,28,15,4.8303,0.75,2.179863,4
37,576,22,30,28,15,4.8303,0.75,2.989527,4
37,511,20,39,28,15,4.8303,0.75,2.652167,4
37,409,20,50,28,15,4.8303,0.75,2.122772,4
37,523,22,42,28,15,4.8303,0.75,2.714449,4
37,451,25,40,28,15,4.8303,0.75,2.340758,4
37,136,21,35,28,15,4.8303,0.75,0,4
37,333,23,36,28,15,4.8303,0.75,0,4
38,716,18,53,27.4,14.6,4.7682,0.75,3.57615,4
38,680,14,31,27.4,14.6,4.7682,0.75,3.57615,4
38,565,16,51,27.4,14.6,4.7682,0.75,2.821962,4
38,460,28,56,27.4,14.6,4.7682,0.75,2.297527,4
38,382,25,25,27.4,14.6,4.7682,0.75,1.907946,4
38,561,18,47,27.4,14.6,4.7682,0.75,2.801983,4
38,563,22,54,27.4,14.6,4.7682,0.75,2.811973,4
38,371,20,38,27.4,14.6,4.7682,0.75,1.853005,4
38,175,26,33,27.4,14.6,4.7682,0.75,0,4
38,127,21,53,27.4,14.6,4.7682,0.75,0,4
39,698,25,53,28.2,15.5,4.87377,0.75,3.6553275,4
39,641,23,41,28.2,15.5,4.87377,0.75,3.6553275,4
39,408,25,36,28.2,15.5,4.87377,0.75,2.136638,4
39,413,16,31,28.2,15.5,4.87377,0.75,2.162823,4
39,517,24,36,28.2,15.5,4.87377,0.75,2.707456,4
39,430,28,28,28.2,15.5,4.87377,0.75,2.251849,4
39,500,24,28,28.2,15.5,4.87377,0.75,2.618429,4
39,439,26,55,28.2,15.5,4.87377,0.75,2.298981,4
39,165,21,50,28.2,15.5,4.87377,0.75,0,4
39,298,18,58,28.2,15.5,4.87377,0.75,0,4
40,652,19,50,27.3,14.7,4.7682,0.75,3.57615,4
40,643,25,47,27.3,14.7,4.7682,0.75,3.57615,4
40,593,22,26,27.3,14.7,4.7682,0.75,3.252541,4
40,559,17,32,27.3,14.7,4.7682,0.75,3.066055,4
40,516,23,30,27.3,14.7,4.7682,0.75,0,4
40,409,24,55,27.3,14.7,4.7682,0.75,2.243321,4
40,579,22,52,27.3,14.7,4.7682,0.75,3.175753,4
40,474,25,34,27.3,14.7,4.7682,0.75,2.599839,4
40,196,25,43,27.3,14.7,4.7682,0.75,0,4
40,245,23,49,27.3,14.7,4.7682,0.75,0,4
41,719,23,25,28,15.2,4.84272,0.75,3.63204,4
41,665,14,58,28,15.2,4.84272,0.75,3.63204,4
41,393,26,48,28,15.2,4.84272,0.75,1.985246,4
41,527,16,34,28,15.2,4.84272,0.75,2.662149,4
41,565,25,54,28,15.2,4.84272,0.75,2.854107,4
41,413,14,28,28,15.2,4.84272,0.75,2.086276,4
41,436,25,33,28,15.2,4.84272,0.75,2.202461,4
41,380,20,46,28,15.2,4.84272,0.75,1.919576,4
41,193,21,34,28,15.2,4.84272,0.75,0,4
41,305,14,43,28,15.2,4.84272,0.75,0,4
42,676,23,55,27.5,14.9,4.79304,0.75,3.59478,4
42,667,28,42,27.5,14.9,4.79304,0.75,3.59478,4
42,546,14,30,27.5,14.9,4.79304,0.75,2.903476,4
42,577,14,32,27.5,14.9,4.79304,0.75,3.068326,4
42,500,14,35,27.5,14.9,4.79304,0.75,2.658861,4
42,556,21,55,27.5,14.9,4.79304,0.75,2.956653,4
42,533,25,36,27.5,14.9,4.79304,0.75,2.834346,4
42,555,16,39,27.5,14.9,4.79304,0.75,2.951336,4
42,314,27,36,27.5,14.9,4.79304,0.75,0,4
42,131,25,29,27.5,14.9,4.79304,0.75,0,4
43,714,25,25,28.1,15.3,4.85514,0.75,3.641355,4
43,693,14,50,28.1,15.3,4.85514,0.75,3.641355,4
43,434,18,48,28.1,15.3,4.85514,0.75,2.213373,4
43,449,28,52,28.1,15.3,4.85514,0.75,2.289872,4
43,563,23,35,28.1,15.3,4.85514,0.75,2.871265,4
43,590,27,42,28.1,15.3,4.85514,0.75,3.008963,4
43,526,28,37,28.1,15.3,4.85514,0.75,2.682567,4
43,450,20,57,28.1,15.3,4.85514,0.75,2.294972,4
43,367,17,41,28.1,15.3,4.85514,0.75,0,4
43,341,18,25,28.1,15.3,4.85514,0.75,0,4
44,664,22,53,27.9,15,4.82409,0.75,3.6180675,4
44,662,15,58,27.9,15,4.82409,0.75,3.6180675,4
44,473,14,47,27.9,15,4.82409,0.75,2.577328,4
44,466,14,35,27.9,15,4.82409,0.75,2.539186,4
44,444,22,51,27.9,15,4.82409,0.75,2.41931,4
44,531,16,57,27.9,15,4.82409,0.75,2.893364,4
44,555,15,44,27.9,15,4.82409,0.75,3.024138,4
44,581,16,36,27.9,15,4.82409,0.75,3.165809,4
44,228,27,38,27.9,15,4.82409,0.75,0,4
44,232,28,31,27.9,15,4.82409,0.75,0,4
45,700,18,36,28,15.1,4.83651,0.75,3.6273825,4
45,600,16,51,28,15.1,4.83651,0.75,3.6273825,4
45,584,18,34,28,15.1,4.83651,0.75,3.026273,4
45,594,14,36,28,15.1,4.83651,0.75,3.078093,4
45,571,25,48,28,15.1,4.83651,0.75,2.958908,4
45,435,17,36,28,15.1,4.83651,0.75,2.254159,4
45,565,18,36,28,15.1,4.83651,0.75,2.927816,4
45,469,15,38,28,15.1,4.83651,0.75,2.430346,4
45,109,16,26,28,15.1,4.83651,0.75,0,4
45,323,14,34,28,15.1,4.83651,0.75,0,4
46,677,28,25,28.3,15.1,4.85514,0.75,3.641355,4
